data_object,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density
default of credit card clients_x8,30000.0,0.098675,0.0004,-2.0,8.0,-0.166,0.0,1.1966375,0.8404749999999999,2.0891125,0.0,1.0,0.0012624999999999,0.777475,0.02815,0.7658375,0.038275,0.801425,1.2651125,0.9069375
default of credit card clients_x8,30000.0,0.0500125,0.0004,-2.0,8.0,-0.1662,0.0,1.1971625,0.8449374999999999,2.1113625,0.0,1.0,0.0018125,0.77765,0.02705,0.7656499999999999,0.036925,0.8011874999999999,1.2654625,0.9068625
default of credit card clients_x9,30000.0,0.5007625,0.0007,-2.0,8.0,-0.221825,0.0,1.1642,0.99325,3.5103625000000003,0.0,1.0,0.0032124999999999,0.8184374999999999,0.0514125,0.7872125,0.070875,0.820425,1.2250375,0.9839125
default of credit card clients_x9,30000.0,0.4495125,0.0006625,-2.0,7.75,-0.222475,0.0,1.1678625000000002,0.998575,3.48295,0.0,1.0,0.004075,0.82145,0.0506875,0.789975,0.0700499999999999,0.823275,1.228825,0.983975
default of credit card clients_x9,30000.0,0.3990125,0.0006,-2.0,7.875,-0.2223625,0.0,1.1685125,1.0032,3.510875,0.0,1.0,0.002875,0.819225,0.05045,0.787825,0.07005,0.8212750000000001,1.229325,0.95865
default of credit card clients_x9,30000.0,0.35,0.0005874999999999,-2.0,7.875,-0.2175375,0.0,1.171125,1.0089125,3.5489125,0.0,1.0,0.00185,0.8201125,0.0490125,0.7888249999999999,0.067825,0.822025,1.2292375,0.93365
default of credit card clients_x9,30000.0,0.2987625,0.0005,-2.0,8.0,-0.2189625,0.0,1.1702875,1.00045,3.4898125,0.0,1.0,0.0033125,0.8201125000000001,0.048775,0.7887375,0.0674874999999999,0.8219875,1.2298375,0.9334625
default of credit card clients_x9,30000.0,0.2486749999999999,0.0005,-2.0,8.0,-0.2195624999999999,0.0,1.1706625,1.0133875,3.57465,0.0,1.0,0.0021375,0.8212125,0.049,0.7895125,0.067775,0.8228,1.2292,0.90835
default of credit card clients_x9,30000.0,0.1997374999999999,0.0005,-2.0,8.0,-0.2239749999999999,0.0,1.1681125,0.9947875,3.4793125000000003,0.0,1.0,0.0019249999999999,0.8200000000000001,0.0525125,0.789325,0.0722625,0.82265,1.2288624999999995,0.9083375
default of credit card clients_x9,30000.0,0.150175,0.0004,-2.0,8.0,-0.2207625,0.0,1.1702624999999998,1.0054500000000002,3.5309374999999994,0.0,1.0,0.003,0.81915,0.048825,0.7881375,0.067675,0.8214375,1.2297,0.9083749999999998
default of credit card clients_x9,30000.0,0.0997,0.0004,-2.0,8.0,-0.220725,0.0,1.1683375,0.9992875,3.500075,0.0,1.0,0.0017625,0.8204375000000002,0.0505875,0.7893374999999999,0.0698375,0.822625,1.228275,0.9084249999999998
default of credit card clients_x9,30000.0,0.0500375,0.0004,-2.0,8.0,-0.2199124999999999,0.0,1.1689499999999995,0.9992125,3.4924250000000003,0.0,1.0,0.0016875,0.819875,0.0496625,0.7891375,0.0687374999999999,0.8223874999999999,1.2289249999999998,0.9085125
default of credit card clients_x10,30000.0,0.4994,0.00065,-2.0,7.625,-0.26935,0.0,1.1342124999999998,1.023075,4.096425,0.0,1.0,0.0017375,0.8208249999999999,0.081025,0.79045,0.1074875,0.823875,1.199175,1.247675
default of credit card clients_x10,30000.0,0.4506,0.0005499999999999,-2.0,7.5,-0.2645375,0.0,1.1334125000000002,1.0007,3.9411,0.0,1.0,0.0041625,0.8208249999999999,0.0799999999999999,0.7898625,0.105975,0.823325,1.197525,1.295875
default of credit card clients_x10,30000.0,0.400825,0.0005499999999999,-2.0,7.5,-0.26715,0.0,1.1269,0.9679125,3.777875,0.0,1.0,0.0033499999999999,0.8184875,0.0799875,0.7886875,0.10595,0.822275,1.195375,1.247475
default of credit card clients_x10,30000.0,0.3501125,0.0005,-2.0,7.625,-0.2700875,0.0,1.1310125,0.9977375,3.9548875,0.0,1.0,0.0022749999999999,0.8197875,0.0837624999999999,0.7893875,0.1107375,0.822675,1.1972625,1.212625
default of credit card clients_x10,30000.0,0.3006125,0.0004875,-2.0,7.875,-0.2640125,0.0,1.135125,1.0172875,4.028025,0.0,1.0,0.0026375,0.819425,0.0793249999999999,0.7884625000000001,0.1050375,0.821825,1.1994000000000002,1.1440749999999995
default of credit card clients_x10,30000.0,0.2495875,0.0004,-2.0,7.75,-0.265875,0.0,1.1336,1.0143000000000002,4.0240125,0.0,1.0,0.0040875,0.8198125000000002,0.079275,0.788925,0.10485,0.8224250000000001,1.198075,1.1780375
default of credit card clients_x10,30000.0,0.1993374999999999,0.0004,-2.0,7.875,-0.2671874999999999,0.0,1.1323375,1.0003,3.9406125,0.0,1.0,0.004325,0.81965,0.0805875,0.789325,0.1066,0.822875,1.1989375,1.1442249999999998
default of credit card clients_x10,30000.0,0.149225,0.0004,-2.0,8.0,-0.26695,0.0,1.1327124999999998,1.0097,4.023325,0.0,1.0,0.00365,0.820025,0.0811,0.789225,0.1073125,0.8227,1.1971,1.1096
default of credit card clients_x10,30000.0,0.1010624999999999,0.000375,-2.0,7.75,-0.2664625,0.0,1.1325375,1.0105625,4.007475,0.0,1.0,0.003925,0.8196,0.0805,0.78855,0.1065625,0.8220000000000001,1.1979125,1.1782625
default of credit card clients_x10,30000.0,0.0510125,0.0003875,-2.0,7.875,-0.2653875,0.0,1.13365,1.0111625,4.000287500000001,0.0,1.0,0.00315,0.819925,0.0799,0.7887124999999999,0.1057875,0.8220124999999999,1.1986375,1.143825
default of credit card clients_x11,30000.0,0.500825,0.0006875,-2.0,7.875,-0.289175,0.0,1.1517375,0.945275,3.39465,0.0,1.0,0.00125,0.8187625,0.1083,0.7889125,0.1408875,0.8229375,1.2237375,1.1400625
default of credit card clients_x11,30000.0,0.449125,0.0005874999999999,-2.0,7.875,-0.2932125,0.0,1.1501,0.955925,3.4858125,0.0,1.0,0.0018875,0.8167,0.1078625,0.78645,0.14045,0.8204875,1.2236875,1.1409625
default of credit card clients_x11,30000.0,0.39915,0.0006,-2.0,8.0,-0.290975,0.0,1.150525,0.9645625,3.5268625,0.0,1.0,0.0019999999999999,0.8181999999999999,0.1086375,0.7872000000000001,0.1414,0.8212375000000001,1.2238625,1.105925
default of credit card clients_x11,30000.0,0.349925,0.0005,-2.0,7.75,-0.2901875,0.0,1.15095,0.9624625,3.5102250000000006,0.0,1.0,0.0020875,0.8169124999999999,0.1084125,0.786675,0.1409875,0.8206250000000002,1.2233375,1.175225
default of credit card clients_x11,30000.0,0.301125,0.0004875,-2.0,7.875,-0.2923375,0.0,1.1497124999999997,0.94335,3.3982750000000004,0.0,1.0,0.002325,0.8161750000000001,0.1092875,0.7861124999999999,0.14215,0.820275,1.2239625000000005,1.140575
default of credit card clients_x11,30000.0,0.2490874999999999,0.0004,-2.0,8.0,-0.291925,0.0,1.1492375,0.94615,3.415675,0.0,1.0,0.0019875,0.8168875000000001,0.1091375,0.7865249999999999,0.1419125,0.8205125,1.2241874999999998,1.1067875
default of credit card clients_x11,30000.0,0.2003,0.0004,-2.0,8.0,-0.2915375,0.0,1.1490749999999998,0.949375,3.43595,0.0,1.0,0.0019375,0.8162125,0.1081624999999999,0.78665,0.1404999999999999,0.8207374999999999,1.2236375000000002,1.1066
default of credit card clients_x11,30000.0,0.1499125,0.0004,-2.0,8.0,-0.2918125,0.0,1.1490874999999998,0.95115,3.4587125,0.0,1.0,0.00195,0.8159999999999998,0.108725,0.7864375,0.1414125,0.8204999999999999,1.222875,1.1066375000000002
default of credit card clients_x11,30000.0,0.099975,0.0004,-2.0,8.0,-0.2910625,0.0,1.1506125,0.9479375,3.424725,0.0,1.0,0.001775,0.8167,0.1089125,0.7865625,0.141575,0.820625,1.2241875,1.1064250000000002
default of credit card clients_x11,30000.0,0.0500624999999999,0.0004,-2.0,8.0,-0.2901499999999999,0.0,1.1502375,0.9532375,3.4571500000000004,0.0,1.0,0.00165,0.8169749999999999,0.1084,0.786775,0.140925,0.8207125000000001,1.22395,1.1066625
default of credit card clients_x1,30000.0,0.5010749999999999,0.00515,10000.0,870000.0,167325.93451249998,140000.0,129281.82907500002,0.98905,0.5346500000000001,90000.0,190000.0,0.1776875,0.2971875,0.2028625,0.2681,0.2644375,0.3439625,3.5612999999999992,0.0169625
default of credit card clients_x1,30000.0,0.44965,0.0046875,10000.0,900000.0,167583.3364875,140000.0,129984.1843,0.99175,0.5357375,90000.0,190000.0,0.1824625,0.2949,0.2018625,0.2662375,0.2612625,0.3416875,3.5652375000000003,0.0168375
default of credit card clients_x1,30000.0,0.3985749999999999,0.0043375,10000.0,900000.0,167137.5745875,140000.0,129454.724275,0.9945125,0.544775,90000.0,190000.0,0.181525,0.298825,0.2038124999999999,0.2688875,0.2645375,0.345,3.562525,0.016325
default of credit card clients_x1,30000.0,0.349925,0.004025,10000.0,925000.0,167494.79058749997,140000.0,129741.92379999998,0.98595,0.4997999999999999,90000.0,190000.0,0.17895,0.296075,0.20355,0.2660875,0.26365,0.341575,3.56355,0.0164375
default of credit card clients_x1,30000.0,0.300625,0.003775,10000.0,975000.0,167382.1882625,140000.0,129630.983275,0.9940125,0.550625,90000.0,190000.0,0.1753249999999999,0.295125,0.2020375,0.2658999999999999,0.2638375,0.3412624999999999,3.5650125,0.016125
default of credit card clients_x1,30000.0,0.2497875,0.003525,10000.0,900000.0,167300.00502500002,140000.0,129528.808475,0.9943375,0.5357,90000.0,190000.0,0.179225,0.295975,0.2029625,0.2666375,0.264225,0.3422625,3.5629,0.0159125
default of credit card clients_x1,30000.0,0.2000125,0.0033125,10000.0,950000.0,167603.6303875,140000.0,129945.3061625,0.9948375,0.53835,90000.0,190000.0,0.1828749999999999,0.2970875,0.204625,0.268025,0.265025,0.3440000000000001,3.5637625,0.0157125
default of credit card clients_x1,30000.0,0.1488249999999999,0.0031625,10000.0,1000000.0,167516.69762499997,140000.0,129725.087825,0.9941625,0.5503374999999999,90000.0,190000.0,0.1762625,0.2964,0.2038625,0.2665499999999999,0.26395,0.3421625,3.5647750000000005,0.0155625
default of credit card clients_x1,30000.0,0.099675,0.0029874999999999,10000.0,950000.0,167401.00743749997,140000.0,129756.58615,0.9919125,0.52765,90000.0,190000.0,0.1774374999999999,0.2963125,0.2039,0.2667,0.2646125,0.3423625,3.5640125,0.0155875
default of credit card clients_x1,30000.0,0.0498124999999999,0.0028,10000.0,1000000.0,167516.7277625,140000.0,129782.45462499998,0.9934625,0.5398375,90000.0,190000.0,0.1789875,0.2965125,0.2041124999999999,0.267025,0.263825,0.3427,3.5641375,0.0153874999999999
default of credit card clients_x18,30000.0,0.4997249999999999,0.3375875,0.0,517747.125,5710.4489125,2126.625,16177.605775,11.65865,219.183525,1939.0,4015.5625,0.0025,0.244175,0.0143125,0.4085,0.017675,0.5198499999999999,6.3803,0.0
default of credit card clients_x18,30000.0,0.4481,0.3278999999999999,0.0,659677.875,5607.7841125,2109.4375,16130.907375,14.0851625,380.86755,1938.625,4021.0625,0.0014375,0.2980125,0.015775,0.40905,0.0191125,0.51955,6.405374999999999,0.0
default of credit card clients_x18,30000.0,0.4001375,0.318575,0.0,827483.0,5648.9766125,2104.375,16608.078162499998,16.229025,518.5563875,1923.0,4012.375,0.001475,0.3142875,0.0155375,0.40885,0.019175,0.5186875,6.4388625,0.0
default of credit card clients_x18,30000.0,0.3504625,0.3092625,0.0,735345.0,5663.48645,2105.875,16591.117975,14.5633125,404.059425,1925.5625,4014.96875,0.001225,0.29045,0.0210125,0.409875,0.025675,0.5178125,6.4471125,0.0
default of credit card clients_x18,30000.0,0.30035,0.3023375,0.0,687820.75,5690.5071875,2105.875,16560.01075,13.5331125,338.04028750000003,1927.8125,4009.28125,0.0015,0.2889375,0.0158875,0.4100375,0.0193375,0.5201,6.471524999999999,0.0
default of credit card clients_x18,30000.0,0.2486375,0.2941499999999999,0.0,781414.0,5671.399737499999,2106.25,16714.00125,14.52945,399.2478125,1942.1875,4022.28125,0.000825,0.2895875,0.0179125,0.41,0.0220125,0.520375,6.4817625,0.0
default of credit card clients_x18,30000.0,0.198225,0.288,0.0,735345.0,5679.350425,2106.1875,16562.783125,13.88895,357.75425,1936.75,4013.75,0.000725,0.2777875,0.01705,0.4087375,0.0211374999999999,0.5184625,6.5082375,0.0
default of credit card clients_x18,30000.0,0.1503125,0.281925,0.0,827483.0,5668.5853875,2100.25,16599.3042875,14.7215875,417.4735,1931.25,4014.8125,0.0007125,0.2834625,0.0162375,0.409475,0.020025,0.519025,6.516675,0.0
default of credit card clients_x18,30000.0,0.1003125,0.275525,0.0,781414.0,5648.49475,2100.0625,16405.4303,14.1190625,376.911225,1931.6875,4006.5,0.0008874999999999,0.2690375,0.01585,0.4089249999999999,0.0194375,0.5178750000000001,6.527200000000001,0.0
default of credit card clients_x18,30000.0,0.0496,0.270025,0.0,873552.0,5669.598062499999,2101.6875,16683.669325,14.784175,419.9253,1931.1875,4006.625,0.0010249999999999,0.296675,0.015825,0.408575,0.019375,0.518875,6.547350000000001,0.0
default of credit card clients_x19,30000.0,0.5008625000000001,0.3350125,0.0,1455670.5,5929.7090375,2014.5625,23756.939,29.8678125,1510.7261125,1984.1875,4153.75,0.003225,0.3159625,0.0274874999999999,0.415125,0.03765,0.5235375,6.346225,0.0
default of credit card clients_x19,30000.0,0.4494875,0.3244375,0.0,1428898.375,5974.3099,2008.6875,23348.992375,27.3096875,1320.814925,1985.4375,4176.375,0.0022375,0.284675,0.0277375,0.41315,0.0377374999999999,0.521325,6.375262500000001,0.0
default of credit card clients_x19,30000.0,0.3996625,0.3166624999999999,0.0,1370299.875,5841.848275,2004.6875,21396.337175,26.600225,1371.1951,1994.9375,4184.40625,0.0013375,0.3135875,0.0281375,0.4131624999999999,0.0383,0.5212500000000001,6.396637499999999,0.0
default of credit card clients_x19,30000.0,0.349975,0.30835,0.0,1627111.875,5952.4965,2008.4375,23903.324575,31.7892625,1710.4601625,1991.5625,4188.8125,0.0027125,0.2852375,0.026325,0.4131499999999999,0.0359749999999999,0.5192749999999999,6.4203125000000005,0.0
default of credit card clients_x19,30000.0,0.299,0.3002375,0.0,1512817.625,5993.457675,2012.5,23388.0148875,28.6885375,1438.3672,1987.125,4165.03125,0.0031875,0.298425,0.02685,0.413825,0.0369624999999999,0.5226875,6.4423125,0.0
default of credit card clients_x19,30000.0,0.2499499999999999,0.29265,0.0,1568513.375,5929.3444125000005,2005.4375,23305.7373125,29.746537499999995,1534.778825,1993.8125,4179.9375,0.0018124999999999,0.2987875,0.0271499999999999,0.4132875,0.0373999999999999,0.5203,6.450512499999999,0.0
default of credit card clients_x19,30000.0,0.1990374999999999,0.2867499999999999,0.0,1544644.0,5962.5491875,2009.5,23261.868950000004,28.471725,1427.3887375,1990.5,4178.40625,0.0018249999999999,0.2960875,0.027575,0.4128624999999999,0.0378999999999999,0.5194375,6.4714375,0.0
default of credit card clients_x19,30000.0,0.1498125,0.2800749999999999,0.0,1627111.875,5914.079125,2009.125,22897.7826125,30.0152375,1616.6256875,1990.875,4156.5,0.00205,0.2899,0.0275125,0.4123,0.037575,0.5197375,6.493399999999999,0.0
default of credit card clients_x19,30000.0,0.098875,0.273875,0.0,1569964.75,5908.9027375000005,2007.5,22593.562525,28.967625,1512.0112625,1992.125,4166.65625,0.0021625,0.2878374999999999,0.0267625,0.4114374999999999,0.03655,0.5202625,6.499712499999999,0.0
default of credit card clients_x19,30000.0,0.0499124999999999,0.2688625,0.0,1684259.0,5917.567687500001,2008.6875,23035.467725,30.6844375,1671.8978625000002,1991.3125,4164.75,0.0017875,0.286525,0.0265875,0.41285,0.0364625,0.5199875,6.5136375,0.0
default of credit card clients_x21,30000.0,0.50005,0.2971,0.0,558842.125,4869.5472125,1500.0,16125.7893125,13.2167375,282.3008375,1500.0,3741.5625,0.0165624999999999,0.229325,0.03155,0.4424,0.0396,0.538225,5.919175,0.0
default of credit card clients_x21,30000.0,0.4524249999999999,0.2881375,0.0,527259.125,4841.3815125,1500.0,15439.3357,11.8890125,228.835575,1500.0,3752.90625,0.0178625,0.2300625,0.0293,0.437575,0.036875,0.5322625,5.9328625,0.0
default of credit card clients_x21,30000.0,0.4007374999999999,0.2796375,0.0,558865.5,4822.502437499999,1500.0,15443.8632125,12.38755,254.83882500000004,1500.0,3759.6875,0.018725,0.224475,0.02555,0.44135,0.0319875,0.537475,5.9608125,0.0
default of credit card clients_x21,30000.0,0.3517875,0.272425,0.0,609487.125,4884.636074999999,1500.0,16171.5118,13.2251375,287.4899625,1500.0,3752.625,0.0186625,0.23675,0.026125,0.43975,0.0327125,0.5354500000000001,5.9716375,0.0
default of credit card clients_x21,30000.0,0.3005124999999999,0.26455,0.0,621000.0,4794.1768625,1500.0,15426.70465,13.269725,302.1300875,1500.0,3739.84375,0.02,0.240525,0.026125,0.43785,0.03275,0.5328875,5.9906625,0.0
default of credit card clients_x21,30000.0,0.2487,0.258025,0.0,621000.0,4849.2621,1500.0,15987.22885,13.3587625,295.571875,1500.0,3733.625,0.0183125,0.2359,0.0263875,0.43865,0.0331125,0.5338625,6.0130625,0.0
default of credit card clients_x21,30000.0,0.19915,0.2517875,0.0,609487.125,4845.13165,1500.0,15738.508612500002,12.8835875,277.478025,1500.0,3720.40625,0.0184625,0.229675,0.0273499999999999,0.4389624999999999,0.0342,0.5342,6.0201875000000005,0.0
default of credit card clients_x21,30000.0,0.1495749999999999,0.2462125,0.0,609487.125,4823.2210125,1500.0,15604.9834,12.88565,278.47525,1500.0,3732.6875,0.020025,0.22585,0.0277375,0.4393125,0.0347875,0.5347375,6.02995,0.0
default of credit card clients_x21,30000.0,0.1006125,0.2412625,0.0,609487.125,4823.369987499999,1500.0,15606.727425,12.846775,274.7225375,1500.0,3716.4375,0.019475,0.2147124999999999,0.0262875,0.4391375,0.0329,0.5344625,6.043512499999999,0.0
default of credit card clients_x21,30000.0,0.0500375,0.235575,0.0,621000.0,4816.392362500001,1500.0,15679.249537500002,13.03575,283.27770000000004,1500.0,3715.6875,0.0190125,0.2167875,0.0271875,0.4387875,0.0341125,0.5340875,6.0511125,0.0
default of credit card clients_x20,30000.0,0.4994125,0.31895,0.0,894290.75,5310.0952875,1811.3125,18431.57475,17.541674999999998,565.9270875,1798.625,4146.125,0.0044125,0.26865,0.0416249999999999,0.4251749999999999,0.0542875,0.5340375,6.1277625,0.0
default of credit card clients_x20,30000.0,0.45005,0.3104375,0.0,784320.5,5269.415925,1817.3125,17952.210874999997,16.9014375,525.476025,1806.9375,4175.625,0.005275,0.277725,0.0411,0.4265875,0.0525125,0.5356124999999999,6.1566875,0.0
default of credit card clients_x20,30000.0,0.3995875,0.3015374999999999,0.0,736656.875,5203.1539375,1808.125,16983.919524999998,15.164775,427.4375625,1800.3125,4156.8125,0.0055625,0.2591875,0.043725,0.4221,0.0565499999999999,0.530775,6.185549999999999,0.0
default of credit card clients_x20,30000.0,0.3497875,0.29345,0.0,782243.75,5235.8797875,1804.25,17498.798025,16.1263875,491.15945,1798.0,4130.5,0.0068749999999999,0.2617625,0.04265,0.4244125000000001,0.0550875,0.5331499999999999,6.18855,0.0
default of credit card clients_x20,30000.0,0.2994874999999999,0.2854874999999999,0.0,846689.0,5214.316462500001,1801.375,17558.3264875,16.861675,537.075925,1793.25,4118.875,0.0059749999999999,0.2606875,0.0406625,0.4255,0.0516625,0.5345625,6.206487500000001,0.0
default of credit card clients_x20,30000.0,0.2490625,0.2786875,0.0,894290.75,5224.362137499999,1800.875,17738.606425,17.350199999999997,569.1042375,1794.875,4123.0625,0.0059875,0.26405,0.043875,0.4247249999999999,0.05595,0.5339750000000001,6.2249875,0.0
default of credit card clients_x20,30000.0,0.1989625,0.2723374999999999,0.0,895165.375,5218.79015,1806.25,17498.0720625,17.1299125,564.841,1798.3125,4125.375,0.00605,0.259075,0.0428124999999999,0.4246,0.0545375,0.5337000000000001,6.2416375,0.0
default of credit card clients_x20,30000.0,0.1490125,0.266425,0.0,896040.0,5220.6555625,1805.25,17533.5064875,17.346825000000003,575.3023375,1797.375,4123.75,0.00535,0.2526,0.041425,0.4238625,0.0527999999999999,0.5327,6.256774999999999,0.0
default of credit card clients_x20,30000.0,0.1010875,0.2610125,0.0,895165.375,5218.90375,1802.6875,17531.9583375,17.0789125,556.4510875,1797.3125,4130.3125,0.0066625,0.2541875,0.0425,0.4256,0.0541375,0.5348249999999999,6.266287500000001,0.0
