subject,predicate,name_predicate,value_predicate,object
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0578124999999999,p_min
default of credit card clients_x6,propertyValue,,0.6698750000000001,p_max
default of credit card clients_x6,propertyValue,,0.022175,k_min
default of credit card clients_x6,propertyValue,,0.6006374999999999,k_max
default of credit card clients_x6,propertyValue,,0.0275374999999999,s_min
default of credit card clients_x6,propertyValue,,0.6249125,s_max
default of credit card clients_x6,propertyValue,,1.4355375,entropy
default of credit card clients_x6,propertyValue,,0.9051375,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.15,missing_perc
default of credit card clients_x6,propertyValue,,0.0004,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.01825,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1221125,std
default of credit card clients_x6,propertyValue,,0.7230125000000001,skewness
default of credit card clients_x6,propertyValue,,2.67705,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0589125,p_min
default of credit card clients_x6,propertyValue,,0.6718000000000001,p_max
default of credit card clients_x6,propertyValue,,0.0211,k_min
default of credit card clients_x6,propertyValue,,0.6024125,k_max
default of credit card clients_x6,propertyValue,,0.0260749999999999,s_min
default of credit card clients_x6,propertyValue,,0.6269250000000001,s_max
default of credit card clients_x6,propertyValue,,1.435625,entropy
default of credit card clients_x6,propertyValue,,0.9044249999999998,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.099425,missing_perc
default of credit card clients_x6,propertyValue,,0.0004,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.0167375,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.1241,std
default of credit card clients_x6,propertyValue,,0.731525,skewness
default of credit card clients_x6,propertyValue,,2.7358125,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0584125,p_min
default of credit card clients_x6,propertyValue,,0.672625,p_max
default of credit card clients_x6,propertyValue,,0.0219125,k_min
default of credit card clients_x6,propertyValue,,0.6027750000000001,k_max
default of credit card clients_x6,propertyValue,,0.0271625,s_min
default of credit card clients_x6,propertyValue,,0.6271250000000002,s_max
default of credit card clients_x6,propertyValue,,1.4368875,entropy
default of credit card clients_x6,propertyValue,,0.9051375,density
default of credit card clients_x6,propertyValue,,30000.0,n_tuples
default of credit card clients_x6,propertyValue,,0.0493625,missing_perc
default of credit card clients_x6,propertyValue,,0.0004,uniqueness
default of credit card clients_x6,propertyValue,,-2.0,min
default of credit card clients_x6,propertyValue,,8.0,max
default of credit card clients_x6,propertyValue,,-0.0174625,mean
default of credit card clients_x6,propertyValue,,0.0,median
default of credit card clients_x6,propertyValue,,1.12375,std
default of credit card clients_x6,propertyValue,,0.7340874999999999,skewness
default of credit card clients_x6,propertyValue,,2.7384375,kurtosis
default of credit card clients_x6,propertyValue,,1.0,mad
default of credit card clients_x6,propertyValue,,1.0,iqr
default of credit card clients_x6,propertyValue,,0.0579875,p_min
default of credit card clients_x6,propertyValue,,0.672625,p_max
default of credit card clients_x6,propertyValue,,0.0210374999999999,k_min
default of credit card clients_x6,propertyValue,,0.6032375,k_max
default of credit card clients_x6,propertyValue,,0.02605,s_min
default of credit card clients_x6,propertyValue,,0.6277125,s_max
default of credit card clients_x6,propertyValue,,1.4361499999999996,entropy
default of credit card clients_x6,propertyValue,,0.9049875,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.5010625,missing_perc
default of credit card clients_x7,propertyValue,,0.0007,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.625,max
default of credit card clients_x7,propertyValue,,-0.12835,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1998625,std
default of credit card clients_x7,propertyValue,,0.801275,skewness
default of credit card clients_x7,propertyValue,,1.6304875,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0365,p_min
default of credit card clients_x7,propertyValue,,0.7669,p_max
default of credit card clients_x7,propertyValue,,0.0141374999999999,k_min
default of credit card clients_x7,propertyValue,,0.7624125,k_max
default of credit card clients_x7,propertyValue,,0.01715,s_min
default of credit card clients_x7,propertyValue,,0.7984749999999999,s_max
default of credit card clients_x7,propertyValue,,1.27755,entropy
default of credit card clients_x7,propertyValue,,0.9803625,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.4498625,missing_perc
default of credit card clients_x7,propertyValue,,0.00065,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.5,max
default of credit card clients_x7,propertyValue,,-0.1367874999999999,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1946,std
default of credit card clients_x7,propertyValue,,0.79165,skewness
default of credit card clients_x7,propertyValue,,1.5601375,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0384125,p_min
default of credit card clients_x7,propertyValue,,0.7658875000000002,p_max
default of credit card clients_x7,propertyValue,,0.015175,k_min
default of credit card clients_x7,propertyValue,,0.76345,k_max
default of credit card clients_x7,propertyValue,,0.0189125,s_min
default of credit card clients_x7,propertyValue,,0.7995125,s_max
default of credit card clients_x7,propertyValue,,1.276075,entropy
default of credit card clients_x7,propertyValue,,1.0050875,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.4014375,missing_perc
default of credit card clients_x7,propertyValue,,0.0006,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.625,max
default of credit card clients_x7,propertyValue,,-0.1351125,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1964625,std
default of credit card clients_x7,propertyValue,,0.775625,skewness
default of credit card clients_x7,propertyValue,,1.4905750000000002,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0346625,p_min
default of credit card clients_x7,propertyValue,,0.7675875000000001,p_max
default of credit card clients_x7,propertyValue,,0.0177125,k_min
default of credit card clients_x7,propertyValue,,0.7645375,k_max
default of credit card clients_x7,propertyValue,,0.021825,s_min
default of credit card clients_x7,propertyValue,,0.8007124999999999,s_max
default of credit card clients_x7,propertyValue,,1.2774,entropy
default of credit card clients_x7,propertyValue,,0.98085,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.3490375,missing_perc
default of credit card clients_x7,propertyValue,,0.0005499999999999,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.5,max
default of credit card clients_x7,propertyValue,,-0.133675,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1961624999999998,std
default of credit card clients_x7,propertyValue,,0.7956000000000001,skewness
default of credit card clients_x7,propertyValue,,1.5941125,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0394625,p_min
default of credit card clients_x7,propertyValue,,0.7662374999999999,p_max
default of credit card clients_x7,propertyValue,,0.0171249999999999,k_min
default of credit card clients_x7,propertyValue,,0.7629125,k_max
default of credit card clients_x7,propertyValue,,0.02115,s_min
default of credit card clients_x7,propertyValue,,0.799125,s_max
default of credit card clients_x7,propertyValue,,1.2760625,entropy
default of credit card clients_x7,propertyValue,,1.0060749999999998,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.298875,missing_perc
default of credit card clients_x7,propertyValue,,0.0005,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.875,max
default of credit card clients_x7,propertyValue,,-0.13105,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1983375,std
default of credit card clients_x7,propertyValue,,0.79545,skewness
default of credit card clients_x7,propertyValue,,1.59365,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0363125,p_min
default of credit card clients_x7,propertyValue,,0.7660875,p_max
default of credit card clients_x7,propertyValue,,0.0136375,k_min
default of credit card clients_x7,propertyValue,,0.7626124999999999,k_max
default of credit card clients_x7,propertyValue,,0.0166625,s_min
default of credit card clients_x7,propertyValue,,0.7987624999999999,s_max
default of credit card clients_x7,propertyValue,,1.2781375,entropy
default of credit card clients_x7,propertyValue,,0.932825,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.25085,missing_perc
default of credit card clients_x7,propertyValue,,0.000475,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.75,max
default of credit card clients_x7,propertyValue,,-0.1323375,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.19715,std
default of credit card clients_x7,propertyValue,,0.785425,skewness
default of credit card clients_x7,propertyValue,,1.5454375,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0358499999999999,p_min
default of credit card clients_x7,propertyValue,,0.76545,p_max
default of credit card clients_x7,propertyValue,,0.0157374999999999,k_min
default of credit card clients_x7,propertyValue,,0.7619250000000001,k_max
default of credit card clients_x7,propertyValue,,0.0194249999999999,s_min
default of credit card clients_x7,propertyValue,,0.798025,s_max
default of credit card clients_x7,propertyValue,,1.2773625,entropy
default of credit card clients_x7,propertyValue,,0.9568125,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.2013749999999999,missing_perc
default of credit card clients_x7,propertyValue,,0.000475,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.75,max
default of credit card clients_x7,propertyValue,,-0.1349375,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.19645,std
default of credit card clients_x7,propertyValue,,0.782025,skewness
default of credit card clients_x7,propertyValue,,1.5195374999999998,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0356125,p_min
default of credit card clients_x7,propertyValue,,0.7670375,p_max
default of credit card clients_x7,propertyValue,,0.01665,k_min
default of credit card clients_x7,propertyValue,,0.7641625,k_max
default of credit card clients_x7,propertyValue,,0.0204375,s_min
default of credit card clients_x7,propertyValue,,0.8002875,s_max
default of credit card clients_x7,propertyValue,,1.277775,entropy
default of credit card clients_x7,propertyValue,,0.95735,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.1503125,missing_perc
default of credit card clients_x7,propertyValue,,0.0004,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.75,max
default of credit card clients_x7,propertyValue,,-0.134275,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1970875,std
default of credit card clients_x7,propertyValue,,0.7923375,skewness
default of credit card clients_x7,propertyValue,,1.580925,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.038225,p_min
default of credit card clients_x7,propertyValue,,0.76655,p_max
default of credit card clients_x7,propertyValue,,0.017075,k_min
default of credit card clients_x7,propertyValue,,0.7632875,k_max
default of credit card clients_x7,propertyValue,,0.02105,s_min
default of credit card clients_x7,propertyValue,,0.7995375,s_max
default of credit card clients_x7,propertyValue,,1.2771749999999995,entropy
default of credit card clients_x7,propertyValue,,0.9543375,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.0990875,missing_perc
default of credit card clients_x7,propertyValue,,0.0004,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.875,max
default of credit card clients_x7,propertyValue,,-0.133375,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1972875000000005,std
default of credit card clients_x7,propertyValue,,0.7847999999999999,skewness
default of credit card clients_x7,propertyValue,,1.5346125,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.03625,p_min
default of credit card clients_x7,propertyValue,,0.7652875000000001,p_max
default of credit card clients_x7,propertyValue,,0.0161875,k_min
default of credit card clients_x7,propertyValue,,0.762375,k_max
default of credit card clients_x7,propertyValue,,0.0197625,s_min
default of credit card clients_x7,propertyValue,,0.798575,s_max
default of credit card clients_x7,propertyValue,,1.277625,entropy
default of credit card clients_x7,propertyValue,,0.9329875,density
default of credit card clients_x7,propertyValue,,30000.0,n_tuples
default of credit card clients_x7,propertyValue,,0.0494375,missing_perc
default of credit card clients_x7,propertyValue,,0.0004,uniqueness
default of credit card clients_x7,propertyValue,,-2.0,min
default of credit card clients_x7,propertyValue,,7.875,max
default of credit card clients_x7,propertyValue,,-0.1339624999999999,mean
default of credit card clients_x7,propertyValue,,0.0,median
default of credit card clients_x7,propertyValue,,1.1967875,std
default of credit card clients_x7,propertyValue,,0.7890625,skewness
default of credit card clients_x7,propertyValue,,1.5659625,kurtosis
default of credit card clients_x7,propertyValue,,0.0,mad
default of credit card clients_x7,propertyValue,,1.0,iqr
default of credit card clients_x7,propertyValue,,0.0365,p_min
default of credit card clients_x7,propertyValue,,0.7665500000000001,p_max
default of credit card clients_x7,propertyValue,,0.0175624999999999,k_min
default of credit card clients_x7,propertyValue,,0.763375,k_max
default of credit card clients_x7,propertyValue,,0.0215625,s_min
default of credit card clients_x7,propertyValue,,0.7996,s_max
default of credit card clients_x7,propertyValue,,1.276925,entropy
default of credit card clients_x7,propertyValue,,0.93305,density
default of credit card clients_x8,propertyValue,,30000.0,n_tuples
default of credit card clients_x8,propertyValue,,0.5005249999999999,missing_perc
default of credit card clients_x8,propertyValue,,0.0007,uniqueness
default of credit card clients_x8,propertyValue,,-2.0,min
default of credit card clients_x8,propertyValue,,8.0,max
default of credit card clients_x8,propertyValue,,-0.1665625,mean
default of credit card clients_x8,propertyValue,,0.0,median
default of credit card clients_x8,propertyValue,,1.196475,std
default of credit card clients_x8,propertyValue,,0.8629,skewness
default of credit card clients_x8,propertyValue,,2.2140375,kurtosis
default of credit card clients_x8,propertyValue,,0.0,mad
default of credit card clients_x8,propertyValue,,1.0,iqr
default of credit card clients_x8,propertyValue,,0.0038875,p_min
default of credit card clients_x8,propertyValue,,0.778375,p_max
default of credit card clients_x8,propertyValue,,0.0239375,k_min
default of credit card clients_x8,propertyValue,,0.7662625,k_max
default of credit card clients_x8,propertyValue,,0.0334875,s_min
default of credit card clients_x8,propertyValue,,0.8018625,s_max
default of credit card clients_x8,propertyValue,,1.2646625,entropy
default of credit card clients_x8,propertyValue,,0.9815125,density
default of credit card clients_x8,propertyValue,,30000.0,n_tuples
default of credit card clients_x8,propertyValue,,0.4510125,missing_perc
default of credit card clients_x8,propertyValue,,0.0006625,uniqueness
default of credit card clients_x8,propertyValue,,-2.0,min
default of credit card clients_x8,propertyValue,,7.625,max
default of credit card clients_x8,propertyValue,,-0.1649499999999999,mean
default of credit card clients_x8,propertyValue,,0.0,median
default of credit card clients_x8,propertyValue,,1.1966625,std
default of credit card clients_x8,propertyValue,,0.834625,skewness
default of credit card clients_x8,propertyValue,,2.0487375,kurtosis
default of credit card clients_x8,propertyValue,,0.0,mad
default of credit card clients_x8,propertyValue,,1.0,iqr
default of credit card clients_x8,propertyValue,,0.0035499999999999,p_min
default of credit card clients_x8,propertyValue,,0.7757499999999999,p_max
default of credit card clients_x8,propertyValue,,0.0250375,k_min
default of credit card clients_x8,propertyValue,,0.766125,k_max
default of credit card clients_x8,propertyValue,,0.0345625,s_min
default of credit card clients_x8,propertyValue,,0.8018375,s_max
default of credit card clients_x8,propertyValue,,1.2648875,entropy
default of credit card clients_x8,propertyValue,,0.97315,density
default of credit card clients_x8,propertyValue,,30000.0,n_tuples
default of credit card clients_x8,propertyValue,,0.3982624999999999,missing_perc
default of credit card clients_x8,propertyValue,,0.0006,uniqueness
default of credit card clients_x8,propertyValue,,-2.0,min
default of credit card clients_x8,propertyValue,,8.0,max
default of credit card clients_x8,propertyValue,,-0.1657499999999999,mean
default of credit card clients_x8,propertyValue,,0.0,median
default of credit card clients_x8,propertyValue,,1.2015,std
default of credit card clients_x8,propertyValue,,0.834625,skewness
default of credit card clients_x8,propertyValue,,2.0177750000000003,kurtosis
default of credit card clients_x8,propertyValue,,0.0,mad
default of credit card clients_x8,propertyValue,,1.0,iqr
default of credit card clients_x8,propertyValue,,0.0023375,p_min
default of credit card clients_x8,propertyValue,,0.778025,p_max
default of credit card clients_x8,propertyValue,,0.0263375,k_min
default of credit card clients_x8,propertyValue,,0.7659375,k_max
default of credit card clients_x8,propertyValue,,0.0363,s_min
default of credit card clients_x8,propertyValue,,0.80175,s_max
default of credit card clients_x8,propertyValue,,1.2691,entropy
default of credit card clients_x8,propertyValue,,0.9069625,density
default of credit card clients_x8,propertyValue,,30000.0,n_tuples
default of credit card clients_x8,propertyValue,,0.3487499999999999,missing_perc
default of credit card clients_x8,propertyValue,,0.0005874999999999,uniqueness
default of credit card clients_x8,propertyValue,,-2.0,min
default of credit card clients_x8,propertyValue,,7.875,max
default of credit card clients_x8,propertyValue,,-0.163425,mean
default of credit card clients_x8,propertyValue,,0.0,median
default of credit card clients_x8,propertyValue,,1.1968125,std
default of credit card clients_x8,propertyValue,,0.8392625000000001,skewness
default of credit card clients_x8,propertyValue,,2.057475,kurtosis
default of credit card clients_x8,propertyValue,,0.0,mad
default of credit card clients_x8,propertyValue,,1.0,iqr
default of credit card clients_x8,propertyValue,,0.0016,p_min
default of credit card clients_x8,propertyValue,,0.7760125000000001,p_max
default of credit card clients_x8,propertyValue,,0.0260625,k_min
default of credit card clients_x8,propertyValue,,0.7640499999999999,k_max
default of credit card clients_x8,propertyValue,,0.0357749999999999,s_min
default of credit card clients_x8,propertyValue,,0.79975,s_max
default of credit card clients_x8,propertyValue,,1.265,entropy
default of credit card clients_x8,propertyValue,,0.931325,density
default of credit card clients_x8,propertyValue,,30000.0,n_tuples
default of credit card clients_x8,propertyValue,,0.300725,missing_perc
default of credit card clients_x8,propertyValue,,0.0005,uniqueness
default of credit card clients_x8,propertyValue,,-2.0,min
default of credit card clients_x8,propertyValue,,8.0,max
default of credit card clients_x8,propertyValue,,-0.1691875,mean
default of credit card clients_x8,propertyValue,,0.0,median
default of credit card clients_x8,propertyValue,,1.1936875,std
default of credit card clients_x8,propertyValue,,0.8345624999999999,skewness
default of credit card clients_x8,propertyValue,,2.07685,kurtosis
default of credit card clients_x8,propertyValue,,0.0,mad
default of credit card clients_x8,propertyValue,,1.0,iqr
default of credit card clients_x8,propertyValue,,0.004275,p_min
default of credit card clients_x8,propertyValue,,0.7776374999999999,p_max
default of credit card clients_x8,propertyValue,,0.0282375,k_min
default of credit card clients_x8,propertyValue,,0.7665624999999999,k_max
default of credit card clients_x8,propertyValue,,0.038925,s_min
default of credit card clients_x8,propertyValue,,0.8022374999999999,s_max
default of credit card clients_x8,propertyValue,,1.2631125,entropy
default of credit card clients_x8,propertyValue,,0.9068,density
default of credit card clients_x8,propertyValue,,30000.0,n_tuples
default of credit card clients_x8,propertyValue,,0.249025,missing_perc
default of credit card clients_x8,propertyValue,,0.0005,uniqueness
default of credit card clients_x8,propertyValue,,-2.0,min
default of credit card clients_x8,propertyValue,,8.0,max
default of credit card clients_x8,propertyValue,,-0.167425,mean
default of credit card clients_x8,propertyValue,,0.0,median
